Verschleiss,75
Falsch montiert,67
ueberhitzt,125
Schlechte Qualitaet,77
Lose Verbindung,95
Verschleiss,13
Abgenutzt,68
Falsch montiert,106
Rost,93
Schlechte Qualitaet,121
Falsch montiert,145
Verschleiss,99
Verstopft,32
Knackgeraeusche,11
Unregelmaessige Funktion,117
Falsch montiert,27
Beschaedigt,53
Keine Leistung,129
Eingeklemmt,130
Eingeklemmt,20
Falsch montiert,233
Kurzschluss,256
Eingeklemmt,169
Schlechte Ausrichtung,237
Unregelmaessige Funktion,230
ueberhitzt,233
Verdreht,190
Feuchtigkeitsschaden,299
Geringe Lebensdauer,213
Verstopft,297
ueberhitzt,229
Eingeklemmt,233
Verdreht,195
Geringe Lebensdauer,178
Schlechte Ausrichtung,221
Abgenutzt,266
Lose Verbindung,200
Lose Verbindung,295
Lose Verbindung,229
Verdreht,244
Verdreht,340
Beschaedigt,340
Fehlfunktion,430
Gebrochen,404
Verschleiss,371
Feuchtigkeitsschaden,378
Rost,379
Abgenutzt,438
Fehlfunktion,309
Falsch montiert,418
Fehlfunktion,425
Keine Leistung,336
Kurzschluss,350
Geringe Lebensdauer,367
Falsch montiert,356
Eingeklemmt,447
Schlechte Qualitaet,372
Rost,409
Keine Leistung,430
Keine Leistung,327
Verschleiss,462
Rost,583
Beschaedigt,451
Knackgeraeusche,480
Knackgeraeusche,559
Eingeklemmt,567
Schlechte Ausrichtung,517
Beschaedigt,490
Schlechte Ausrichtung,593
Geringe Lebensdauer,455
Knackgeraeusche,515
Knackgeraeusche,516
Gebrochen,510
Lose Verbindung,549
Schlechte Ausrichtung,460
Eingeklemmt,509
Abgenutzt,521
Feuchtigkeitsschaden,500
Geringe Lebensdauer,453
Verstopft,496
Knackgeraeusche,607
Abgenutzt,699
Beschaedigt,657
Verstopft,714
Abgenutzt,702
Beschaedigt,750
Schlechte Qualitaet,717
Feuchtigkeitsschaden,723
Unregelmaessige Funktion,729
Geringe Lebensdauer,606
Rost,613
Verschleiss,702
Beschaedigt,748
Verdreht,679
Knackgeraeusche,738
Falsch montiert,703
Lose Verbindung,707
Unregelmaessige Funktion,682
Eingeklemmt,732
ueberhitzt,622
